context_id	word	gold_sense_id	predict_sense_id	positions	context	context_wo	contextmorph	wordpos	feature_cos	feature_prob
408	дерево	2	4	54-61	Шкаф был самый обыкновенный, двустворчатый, орехового дерева	Шкаф был самый обыкновенный, двустворчатый, орехового	шкаф_NOUN быть_VERB самый_DET обыкновенный_ADJ двустворчатый_ADJ ореховый_ADJ	дерево_NOUN	[0.28661922, 0.24662207, 0.248679, 0.24545711, 0.26365334, 0.24917486, 0.26187757, 0.24804328, 0.20065922]	[0.5516171657159007, 0.54501070353846, 0.5452422739868737, 0.5442941259198856, 0.5483704778158447, 0.5461349866716719, 0.5484399231141389, 0.5453009860502317, 0.5379193124365844]
409	дерево	2	3	24-31	На полированном красном дереве появились грубые, свежие царапины	На полированном красном  появились грубые, свежие царапины	на_ADP полировать_VERB красный_ADJ появляться_VERB грубый_ADJ свежий_ADJ царапина_NOUN	дерево_NOUN	[0.35761857, 0.3294916, 0.349815, 0.33925417, 0.31685463, 0.41055804, 0.29750866, 0.32551506, 0.34119546]	[0.5642760576348591, 0.5600077439425346, 0.5634722474766999, 0.5610747427749389, 0.5580503236031525, 0.5756468523910464, 0.5549805764260968, 0.5593325248892601, 0.5642439287553092]
410	дерево	2	4	20-28	Теперь в отделанном деревом салоне стало совсем уютно	Теперь в отделанном  салоне стало совсем уютно	теперь_ADV в_NOUN отделывать_VERB салон_NOUN становиться_VERB совсем_ADV уютно_ADV	дерево_NOUN	[0.3074324, 0.2864879, 0.3167927, 0.30775374, 0.32477602, 0.24852833, 0.336034, 0.28032032, 0.25826684]	[0.5553357639538603, 0.5522371901432807, 0.5575362935602646, 0.555452826449398, 0.5594880135313187, 0.5460159541223625, 0.5620310926457988, 0.5511569893490456, 0.5487442089784151]
411	дерево	3	7	47-54	Структуру предложения можно представить в виде дерева	Структуру предложения можно представить в виде	структура_NOUN предложение_NOUN можно_ADV представлять_VERB в_NOUN вид_NOUN	дерево_NOUN	[0.15763132, 0.22676507, 0.1821772, 0.172511, 0.12891679, 0.22608778, 0.12629604, 0.21585678, 0.2646527]	[0.5284584787137164, 0.5414039442949402, 0.5331856183158994, 0.5311719217088565, 0.5237077972241503, 0.5418814338507814, 0.5234175402737267, 0.5394488907775234, 0.5499415172244336]
412	дерево	3	7	30-37	В анализе данных используется дерево принятия решений	В анализе данных используется  принятия решений	в_NOUN анализ_NOUN данный_ADJ использоваться_VERB принятие_NOUN решение_NOUN	дерево_NOUN	[0.17354092, 0.25949636, 0.20155174, 0.20219618, 0.16250078, 0.26766145, 0.16877116, 0.25953642, 0.32074988]	[0.5313235877020046, 0.5473466540510276, 0.536702825262373, 0.5365182006427518, 0.5298707011488448, 0.5495361283007036, 0.5312752154167072, 0.5473877100463586, 0.5604330039981404]
413	дерево	3	7	18-25	Пример построения дерева объектов представлен на рисунке	Пример построения  объектов представлен на рисунке	пример_NOUN построение_NOUN объект_NOUN представлять_VERB на_ADP рисунок_NOUN	дерево_NOUN	[0.063848756, 0.1274302, 0.11534971, 0.09936886, 0.08021423, 0.12211658, 0.086349465, 0.14349039, 0.16991189]	[0.5115375586822253, 0.5233033719991229, 0.5210307599221355, 0.5179710516662139, 0.5147581694064293, 0.5226589699891009, 0.5160169735626596, 0.5262540357412133, 0.5321263373518287]
414	дерево	3	7	46-55	Такие диаграммы представляются в виде графов, деревьев событий, функциональных сетей, карт потоков	Такие диаграммы представляются в виде графов,  событий, функциональных сетей, карт потоков	такой_DET диаграмма_NOUN представляться_VERB в_NOUN вид_NOUN граф_NOUN событие_NOUN функциональный_ADJ сеть_NOUN карта_NOUN поток_NOUN	дерево_NOUN	[0.15604074, 0.21923865, 0.20319897, 0.17393969, 0.13147159, 0.24531549, 0.13248132, 0.23266783, 0.25532544]	[0.5281719287836836, 0.5400357113611467, 0.5370016826497589, 0.5314293980728084, 0.5241768908796614, 0.5454243881569302, 0.5245625921243962, 0.5425069077633721, 0.548192535077646]
415	держава	1	3	8-16	Воюющие державы	Воюющие	воевать_VERB	держава_NOUN	[0.43074232, 0.4582565, 0.414901, 0.5541563, 0.48155975, 0.42097262, 0.4616568, 0.45277908, 0.4122551]	[0.5764551560117981, 0.5799124401213636, 0.5731676474140229, 0.5982272633154129, 0.5856662023496931, 0.5769156123314546, 0.5820161241055958, 0.5819337377576793, 0.5747795647511489]
416	держава	1	7	46-53	На саммите встречаются лидеры ведущих мировых держав	На саммите встречаются лидеры ведущих мировых	на_ADP саммит_NOUN встречаться_VERB лидер_NOUN ведущий_NOUN мировой_ADJ	держава_NOUN	[0.5739401, 0.3688603, 0.6434535, 0.48572162, 0.33206046, 0.4699036, 0.6193821, 0.6168643, 0.43225268]	[0.5756424676692925, 0.5480179298888403, 0.5840458970546809, 0.5644002996864098, 0.5441757708249318, 0.5638978786930349, 0.5816970850302459, 0.5828539073967992, 0.5583815935407095]
417	держава	1	4	28-36,49-57	Когда-то стояла там великая держава единоверцев, держава рухнула, осталось пестрое и впавшее в бедность население	Когда-то стояла там великая  единоверцев,  рухнула, осталось пестрое и впавшее в бедность население	когда_ADV то_PART стоять_VERB там_ADV великий_ADJ единоверец_NOUN рухнуть_VERB оставаться_VERB пестрый_ADJ и_SCONJ впадать_VERB в_NOUN бедность_NOUN население_NOUN	держава_NOUN	[0.3554439, 0.532492, 0.32973328, 0.38563174, 0.501143, 0.3115895, 0.30949515, 0.30038452, 0.3433212]	[0.5632480620698961, 0.5925805574409864, 0.5583024177807364, 0.5688161551337005, 0.5890771950848483, 0.5571351937209543, 0.5552583132537298, 0.5546323519494165, 0.5624188748790498]
418	держава	1	4	49-57	Однако, дураки-то дураки, а понимают, что жить в державе безопаснее и зажиточней, сытнее	Однако, дураки-то дураки, а понимают, что жить в  безопаснее и зажиточней, сытнее	однако_SCONJ дурак_NOUN то_PART дурак_NOUN а_PART понимать_VERB что_PRON жить_VERB в_NOUN безопасный_ADJ и_SCONJ зажиточный_ADJ сытный_ADJ	держава_NOUN	[0.123690665, 0.21177039, 0.120012015, 0.19047919, 0.21894334, 0.08508889, 0.14455444, 0.14531252, 0.10518873]	[0.522113738914562, 0.5371798806776096, 0.5213042175662189, 0.5341549094880635, 0.5392555431522628, 0.5156658098267911, 0.5258919045724579, 0.5265097229499893, 0.5192150740211605]
419	держава	1	4	55-63	– Ты ведь меня знаешь, Абдулла, я мзду не беру. Мне за державу обидно!	– Ты ведь меня знаешь, Абдулла, я мзду не беру. Мне за  обидно!	ты_PRON ведь_PART я_PRON знать_VERB абдулла_NOUN я_PRON мзда_NOUN не_PART брать_VERB я_PRON за_ADP обидно_ADV	держава_NOUN	[0.1694574, 0.26901984, 0.112173155, 0.13343255, 0.3233904, 0.1548395, 0.10247473, 0.11634013, 0.17734809]	[0.5302787244623526, 0.5471775839914279, 0.5199142054989214, 0.5239448488705428, 0.5578418749948878, 0.52848611200668, 0.5183629655145843, 0.5212313689446663, 0.5323672384841884]
420	держава	1	4	77-85	Глава фирмы был просто потрясен: «Меня впервые переводил посол такой великой державы!»	Глава фирмы был просто потрясен: «Меня впервые переводил посол такой великой  »	глава_NOUN фирма_NOUN быть_VERB просто_PART потрясать_VERB я_PRON впервые_ADV переводить_VERB посол_NOUN такой_DET великий_ADJ	держава_NOUN	[0.5512025, 0.6126632, 0.42070386, 0.53348625, 0.66941136, 0.46174473, 0.4399053, 0.39656496, 0.54449403]	[0.5799671078501273, 0.5872441515670347, 0.5608219577839578, 0.5777330559157612, 0.5971267953969616, 0.5691147501300565, 0.5641528946636167, 0.5589569558377383, 0.5806868872918465]
421	держава	1	3	96-103	Во мнении относительно необходимости окончательного разгрома нацистской Германии лидеры союзных держав были едины	Во мнении относительно необходимости окончательного разгрома нацистской Германии лидеры союзных  были едины	во_PART мнение_NOUN относительно_ADV необходимость_NOUN окончательный_ADJ разгром_NOUN нацистский_ADJ германия_NOUN лидер_NOUN союзный_ADJ быть_VERB единый_ADJ	держава_NOUN	[0.73710835, 0.5014586, 0.7257146, 0.6979441, 0.48020536, 0.69612, 0.8146848, 0.7299448, 0.59844303]	[0.5939193243007688, 0.5632340694045705, 0.5918571912880252, 0.5893747536984836, 0.561867432138812, 0.591369854660313, 0.6037437097944955, 0.5949080258927929, 0.5781869288013509]
422	держава	1	3	51-58	Отношения с самой экономически могучей из западных держав, Америкой, находятся в состоянии неопределенности	Отношения с самой экономически могучей из западных   Америкой, находятся в состоянии неопределенности	отношение_NOUN с_NOUN самый_DET экономически_ADV могучий_ADJ из_ADP западный_ADJ америка_NOUN находиться_VERB в_NOUN состояние_NOUN неопределенность_NOUN	держава_NOUN	[0.5123732, 0.39665997, 0.75751495, 0.53865457, 0.38418153, 0.62191737, 0.59343195, 0.5843266, 0.45072165]	[0.5680581977729914, 0.5519377710923082, 0.5991943320381731, 0.5717747896811264, 0.5513870177619464, 0.5847485312203144, 0.5788214653920315, 0.579048988563507, 0.5612348814846891]
423	держава	2	7	15-23	Энергетическая держава	Энергетическая	энергетический_ADJ	держава_NOUN	[0.32467717, 0.16881558, 0.41765004, 0.21841358, 0.15124135, 0.23402, 0.32680598, 0.35490018, 0.20783177]	[0.5578246627742797, 0.5296583884707763, 0.5736454199600051, 0.5391446532157426, 0.5271460872451519, 0.5429933400104332, 0.5583216661459126, 0.5644456251098463, 0.5379109305094842]
424	держава	2	3	9-17	зерновая держава	зерновая	зерновой_ADJ	держава_NOUN	[0.23263988, 0.16450469, 0.32512334, 0.22244592, 0.1539107, 0.22829734, 0.22838691, 0.24918374, 0.18583797]	[0.5415232639943729, 0.5289027425415176, 0.5574945533081311, 0.5398643171142187, 0.5276242339845133, 0.5419469869159459, 0.5408529396044258, 0.5453766941827451, 0.5339120483115921]
425	держава	2	6	34-43	Казахстан хочет стать космической державой	Казахстан хочет стать космической	казахстан_NOUN хотеть_VERB становиться_VERB космический_ADJ	держава_NOUN	[0.3854455, 0.21412657, 0.5512157, 0.2673519, 0.24648874, 0.4600274, 0.41053498, 0.35244066, 0.28634292]	[0.5685220923580154, 0.5375920078141294, 0.5966770456384313, 0.5478667287337002, 0.5441699991527963, 0.5839221844346176, 0.5730719300023015, 0.5640039224611326, 0.552142447692277]
426	держава	2	3	40-49	Германию трудно признать гимнастической державой, а Берлин – столицей европейской гимнастики	Германию трудно признать гимнастической   а Берлин – столицей европейской гимнастики	германия_NOUN трудно_ADV признавать_VERB гимнастический_ADJ а_PART берлин_NOUN столица_NOUN европейский_ADJ гимнастика_NOUN	держава_NOUN	[0.66800666, 0.46127668, 0.7007496, 0.6933639, 0.4992377, 0.75876886, 0.7110348, 0.62296784, 0.62021095]	[0.5958332341888878, 0.5654990431941396, 0.5997100896411522, 0.5997496862856562, 0.5723179801013839, 0.611556790957839, 0.6020473220973427, 0.591328313821724, 0.5910103748339137]
427	держава	2	7	38-46	В последнее время ведущие авиационные державы активно развивают средства воздушного и космического нападения	В последнее время ведущие авиационные  активно развивают средства воздушного и космического нападения	в_NOUN последний_ADJ время_NOUN ведущий_NOUN авиационный_ADJ активно_ADV развивать_VERB средство_NOUN воздушный_ADJ и_SCONJ космический_ADJ нападение_NOUN	держава_NOUN	[0.30882618, 0.13972743, 0.38760468, 0.25318974, 0.14012103, 0.28233182, 0.35835484, 0.36371574, 0.22458924]	[0.5550250441199035, 0.5245571141919904, 0.5684163650307518, 0.5453454582640406, 0.5251536172717692, 0.5518107873492272, 0.5638930835909898, 0.5660279633174607, 0.5409545039807381]
428	держава	2	6	161-170	Даже удивительно, что большинство [учеников Ростроповича] составляют бывшие рижане, родившиеся и учившиеся в Латвии, которая тем самым оказывается виолончельной державой	Даже удивительно, что большинство [учеников Ростроповича] составляют бывшие рижане, родившиеся и учившиеся в Латвии, которая тем самым оказывается виолончельной	даже_PART удивительно_ADV что_PRON большинство_NOUN ученик_NOUN ростропович_NOUN составлять_VERB бывший_ADJ рижанин_NOUN родиться_VERB и_SCONJ учиться_VERB в_NOUN латвия_NOUN который_DET то_PRON самый_DET оказываться_VERB виолончельный_ADJ	держава_NOUN	[0.44738507, 0.2613024, 0.51664555, 0.39642358, 0.29816407, 0.56132513, 0.5233999, 0.42490876, 0.37129658]	[0.5793602269921895, 0.5458318997988253, 0.5907523465439567, 0.5707165201442785, 0.5533656713469117, 0.6019316097963369, 0.5927466228945921, 0.5769730698011155, 0.5674454541328214]
429	держава	2	3	68-77	Надо такой комбинат строить, он даст возможность России быть медной державой	Надо такой комбинат строить, он даст возможность России быть медной	надо_ADV такой_DET комбинат_NOUN строить_VERB он_PRON давать_VERB возможность_NOUN россия_NOUN быть_VERB медный_ADJ	держава_NOUN	[0.5704162, 0.48964807, 0.70843273, 0.51939195, 0.4678133, 0.6500528, 0.56008416, 0.5916126, 0.49430153]	[0.6006534031032728, 0.5852832173340677, 0.6232441787766859, 0.5922104275840491, 0.5832669516619869, 0.6174843993987987, 0.5990811255809918, 0.6063804483225178, 0.5893693498932618]
430	дерзость	1.1	7	28-37	Она не любила секретаршу за дерзость и нахальство	Она не любила секретаршу за  и нахальство	она_PRON не_PART любить_VERB секретарша_NOUN за_ADP и_SCONJ нахальство_NOUN	дерзость_NOUN	[0.20928651, 0.14307514, 0.21483979, 0.22572897, 0.11619195, 0.16167128, 0.09359091, 0.30821013, 0.16217037]	[0.5344139247420969, 0.5242154780649565, 0.5361324217569751, 0.5379904141007406, 0.5196674097058138, 0.527057621920992, 0.5157992182469748, 0.5528719278798285, 0.527855677551632]
431	дерзость	1.1	7	13-22	Он онемел от дерзости подчиненного	Он онемел от  подчиненного	он_PRON онемевать_VERB от_ADP подчиненный_NOUN	дерзость_NOUN	[0.44313622, 0.45974824, 0.4543158, 0.43610442, 0.43977112, 0.4739777, 0.3984106, 0.5429793, 0.4819715]	[0.5528516324417346, 0.5563644813290337, 0.5554086027603091, 0.5532514389727364, 0.5539257084814057, 0.5574622658693611, 0.5487486063135794, 0.5675447727759547, 0.5599495227540604]
432	дерзость	1.1	4	72-81	Невоздержанность на язык оставалась в нем смолоду, никакие синяки-шишки дерзости не умерили, ума-разума не прибавили	Невоздержанность на язык оставалась в нем смолоду, никакие синяки-шишки  не умерили, ума-разума не прибавили	невоздержанность_NOUN на_ADP язык_NOUN оставаться_VERB в_NOUN немой_ADJ смолоду_ADV никакой_DET синяк_NOUN шишка_NOUN не_PART умерять_VERB ум_NOUN разум_NOUN не_PART прибавлять_VERB	дерзость_NOUN	[0.3995056, 0.45745686, 0.39009818, 0.28243384, 0.39593133, 0.46018398, 0.31531265, 0.39082655, 0.5064662]	[0.5654193416624638, 0.5768708605742021, 0.5653465778927499, 0.5474821675733329, 0.5666534177910872, 0.5764874624782862, 0.5530457389671565, 0.5668925242108006, 0.586214817343517]
433	дерзость	1.1	7	15-24	При всей своей дерзости и сумасбродстве моя мать была женщина практичная, знала, чего хотела	При всей своей  и сумасбродстве моя мать была женщина практичная, знала, чего хотела	при_ADP весь_DET свой_DET и_SCONJ сумасбродство_NOUN мой_DET мать_NOUN быть_VERB женщина_NOUN практичный_ADJ знать_VERB что_PRON хотеть_VERB	дерзость_NOUN	[0.32752115, 0.34650585, 0.30830348, 0.338951, 0.35720173, 0.36187753, 0.33747238, 0.5250081, 0.4143528]	[0.5537327566383953, 0.5584239685782137, 0.5517559455402155, 0.556908275729017, 0.5602000439686429, 0.5603284296571269, 0.5567426887023805, 0.5894281966634866, 0.5707679920071056]
434	дерзость	1.1	7	129-138	В этот момент Нора заметила, что ее сын замер с открытым ртом. Кажется, он хотел что-то спросить, но потом испугался собственной дерзости	В этот момент Нора заметила, что ее сын замер с открытым ртом. Кажется, он хотел что-то спросить, но потом испугался собственной	в_NOUN этот_DET момент_NOUN нора_NOUN замечать_VERB что_PRON она_PRON сын_NOUN замирать_VERB с_NOUN открытый_ADJ рот_NOUN кажется_ADV он_PRON хотеть_VERB что_PRON то_PART спрашивать_VERB но_SCONJ потом_ADV испугаться_VERB собственный_ADJ	дерзость_NOUN	[0.32752115, 0.34650585, 0.30830348, 0.338951, 0.35720173, 0.36187753, 0.33747238, 0.5250081, 0.4143528]	[0.5537327566383953, 0.5584239685782137, 0.5517559455402155, 0.556908275729017, 0.5602000439686429, 0.5603284296571269, 0.5567426887023805, 0.5894281966634866, 0.5707679920071056]
435	дерзость	1.1	7	142-151	Да знаешь ли ты, что господин полковник в силу финансовых затруднений уже вторую неделю машину отремонтировать не может? И у тебя еще хватает дерзости озвучивать такие бредовые идеи?	Да знаешь ли ты, что господин полковник в силу финансовых затруднений уже вторую неделю машину отремонтировать не может? И у тебя еще хватает  озвучивать такие бредовые идеи?	да_PART знать_VERB ли_PART ты_PRON что_PRON господин_NOUN полковник_NOUN в_NOUN сила_NOUN финансовый_ADJ затруднение_NOUN уже_ADV второй_ADJ неделя_NOUN машина_NOUN отремонтировать_VERB не_PART может_ADV и_PART у_ADP ты_PRON еще_ADV хватать_VERB озвучивать_VERB такой_DET бредовой_ADJ идея_NOUN	дерзость_NOUN	[0.3436649, 0.26377812, 0.32710078, 0.3547252, 0.3311083, 0.32306492, 0.28133106, 0.51696056, 0.40233052]	[0.556359315346946, 0.5445608783439331, 0.5548868173792666, 0.559532161495905, 0.5558405677485291, 0.5539112790626345, 0.5473652793874391, 0.5880861800685693, 0.5687410492321976]
436	дерзость	1.1	7	25-34	От осознания собственной дерзости на щеках его сквозь пленку загара проступили аккуратные розовые кружки	От осознания собственной  на щеках его сквозь пленку загара проступили аккуратные розовые кружки	от_ADP осознание_NOUN собственный_ADJ на_ADP щека_NOUN он_PRON сквозь_ADP пленка_NOUN загар_NOUN проступать_VERB аккуратный_ADJ розовый_ADJ кружок_NOUN	дерзость_NOUN	[0.3293834, 0.32345045, 0.39676243, 0.30857277, 0.28883228, 0.3526521, 0.38954076, 0.39429638, 0.29184934]	[0.5333196007767795, 0.5336497338990196, 0.5410256426793663, 0.5319632994756597, 0.5300524027000509, 0.5362765631204124, 0.5403752237107553, 0.5416659819384794, 0.5308291588989434]
437	дерзость	1.2	3	19-28	Что за неслыханная дерзость – так разговаривать с начальником!	Что за неслыханная  – так разговаривать с начальником!	что_PRON за_ADP неслыханный_ADJ так_ADV разговаривать_VERB с_NOUN начальник_NOUN	дерзость_NOUN	[0.2731678, 0.21972284, 0.2905008, 0.36062723, 0.25270477, 0.2078728, 0.27202252, 0.41335198, 0.27109262]	[0.5448683059185213, 0.5371486479313048, 0.548786928931781, 0.5605130474211253, 0.5426923248113266, 0.5347678284220931, 0.5458070039960158, 0.5706977083399098, 0.5464787071647006]
438	дерзость	1.2	3	22-32	Он был возмущен такой дерзостью	Он был возмущен такой	он_PRON быть_VERB возмущать_VERB такой_DET	дерзость_NOUN	[0.509481, 0.39453056, 0.48563597, 0.608562, 0.5584524, 0.5379762, 0.39996672, 0.5021491, 0.46346024]	[0.5831299686364437, 0.5664315135653992, 0.5810958584888918, 0.6012023533918475, 0.5934640628301868, 0.5891612856101395, 0.567133615426025, 0.5856127443776908, 0.5790221495467571]
439	дерзость	1.2	3	136-145,217-227	Секретарь […] постарался представить себе, в какую именно причудливую форму выльется гнев вспыльчивого прокуратора при этой неслыханной дерзости арестованного Если позволишь дать тебе совет… Это было непозволительной дерзостью, почему она [Статна] сразу же и примолкла. – Говори! – велела Ольга	Секретарь […] постарался представить себе, в какую именно причудливую форму выльется гнев вспыльчивого прокуратора при этой неслыханной  арестованного Если позволишь дать тебе совет… Это было непозволительной   почему она [Статна] сразу же и примолкла. – Говори! – велела Ольга	секретарь_NOUN постараться_VERB представлять_VERB себя_PRON в_NOUN какой_DET именно_PART причудливый_ADJ форма_NOUN выливаться_VERB гнев_NOUN вспыльчивый_ADJ прокуратор_NOUN при_ADP этот_DET неслыханный_ADJ арестованный_NOUN если_SCONJ позволять_VERB давать_VERB ты_PRON совет_NOUN это_PRON быть_VERB непозволительный_ADJ почему_ADV она_PRON статный_ADJ сразу_ADV же_PART и_SCONJ примолкать_VERB говорить_VERB велеть_VERB ольга_NOUN	дерзость_NOUN	[0.6078702, 0.5295042, 0.5322643, 0.57837045, 0.597867, 0.68383646, 0.54304034, 0.651703, 0.63092893]	[0.5696036747502699, 0.5624361078192598, 0.5624260582848529, 0.5678289845803772, 0.5703844189179427, 0.5794885389543608, 0.5638224553104959, 0.5778887330680299, 0.575339589846486]
440	дерзость	1.2	7	132-141	Ксения подошла совсем близко, так, что я ощутил тепло ее лица. Я ткнулся губами наугад, но попал в лоб. – Это ведь не самая большая дерзость, на которую ты способен? – горячо шепнула она	Ксения подошла совсем близко, так, что я ощутил тепло ее лица. Я ткнулся губами наугад, но попал в лоб. – Это ведь не самая большая   на которую ты способен? – горячо шепнула она	ксения_NOUN подходить_VERB совсем_ADV близко_ADV так_ADV что_PRON я_PRON ощущать_VERB тепло_NOUN она_PRON лицо_NOUN я_PRON ткнуться_VERB губа_NOUN наугад_ADV но_SCONJ попадать_VERB в_NOUN лоб_NOUN это_PRON ведь_PART не_PART самый_DET больший_ADJ на_ADP который_DET ты_PRON способный_ADJ горячо_ADV шепнуть_VERB она_PRON	дерзость_NOUN	[0.22988367, 0.23103733, 0.23668842, 0.26364526, 0.16988543, 0.23216484, 0.25735408, 0.39443392, 0.25059357]	[0.5377884737870521, 0.539054003088733, 0.5397921809163705, 0.5443406593584864, 0.528739040908029, 0.5388153024530441, 0.5433496744202706, 0.5675024611639424, 0.5429822159350688]
441	дерзость	1.2	4	75-84	Любой уточняющий вопрос ведь мог быть воспринят как вызов, как неслыханная дерзость, как вопиющее нарушение партийной этики!	Любой уточняющий вопрос ведь мог быть воспринят как вызов, как неслыханная   как вопиющее нарушение партийной этики!	любой_PRON уточнять_VERB вопрос_NOUN ведь_PART мочь_VERB быть_VERB воспринимать_VERB как_ADV вызов_NOUN как_ADV неслыханный_ADJ как_ADV вопиющий_ADJ нарушение_NOUN партийный_ADJ этика_NOUN	дерзость_NOUN	[0.35185698, 0.28197002, 0.36433554, 0.45562625, 0.5341708, 0.40320167, 0.27913213, 0.29753923, 0.34147242]	[0.5481413470956413, 0.53971688663833, 0.5509741035653118, 0.5636777860760646, 0.5748205854453615, 0.5560523331409586, 0.539199771891576, 0.5425907035231623, 0.5487734839939257]
442	дерзость	1.3	3	11-21	Наговорить дерзостей	Наговорить	наговаривать_VERB	дерзость_NOUN	[0.31753975, 0.31902343, 0.37173045, 0.4574598, 0.4015942, 0.36471513, 0.3593709, 0.47820595, 0.37873802]	[0.5521072887589908, 0.5538276251948085, 0.5623024764954256, 0.5765333434867691, 0.5675951556273983, 0.5607968192797439, 0.5603898742858311, 0.5816053126085707, 0.5647567192880838]
443	дерзость	1.3	7	32-42	Слова Зубра в те годы выглядели дерзостью, встреча с ним поражала непременно	Слова Зубра в те годы выглядели   встреча с ним поражала непременно	слово_NOUN зубр_NOUN в_NOUN тот_DET год_NOUN выглядеть_VERB встреча_NOUN с_NOUN он_PRON поражать_VERB непременно_ADV	дерзость_NOUN	[0.2476335, 0.27546415, 0.28094074, 0.27652913, 0.29045367, 0.2901117, 0.30499032, 0.48017675, 0.37069485]	[0.5406937465546405, 0.5465238701822344, 0.5471911114633545, 0.5464952797187878, 0.549031368245, 0.5484486543174631, 0.5513216251702011, 0.5819355947768614, 0.5633964459971126]
444	дерзость	1.3	4	47-56	Мое высказывание воспринимается как величайшая дерзость	Мое высказывание воспринимается как величайшая	мой_DET высказывание_NOUN восприниматься_VERB как_ADV великий_ADJ	дерзость_NOUN	[0.1834765, 0.13070244, 0.2628769, 0.22408147, 0.2680906, 0.20917189, 0.1928744, 0.0978627, 0.15424213]	[0.5301808943682917, 0.5221242680839101, 0.5441731938552716, 0.5377141854976919, 0.5452778045279804, 0.5349843943901246, 0.5325242699802664, 0.5168444864629121, 0.5264964717156851]
445	дерзость	1.3	7	112-121	Ты хочешь, чтобы все яблоки тебе остались? Ты их все равно не съешь. – Я напишу твоей маме, что ты говоришь мне дерзости	Ты хочешь, чтобы все яблоки тебе остались? Ты их все равно не съешь. – Я напишу твоей маме, что ты говоришь мне	ты_PRON хотеть_VERB чтобы_SCONJ все_PRON яблоко_NOUN ты_PRON оставаться_VERB ты_PRON они_PRON все_PRON равно_ADV не_PART съедать_VERB я_PRON написать_VERB твой_DET мама_NOUN что_PRON ты_PRON говорить_VERB я_PRON	дерзость_NOUN	[0.32752115, 0.34650585, 0.30830348, 0.338951, 0.35720173, 0.36187753, 0.33747238, 0.5250081, 0.4143528]	[0.5537327566383953, 0.5584239685782137, 0.5517559455402155, 0.556908275729017, 0.5602000439686429, 0.5603284296571269, 0.5567426887023805, 0.5894281966634866, 0.5707679920071056]
446	дерзость	1.3	7	19-28	Еще пять кнутов за дерзости […] во время дачи показаний, – сказал Верховный Жрец	Еще пять кнутов за  […] во время дачи показаний, – сказал Верховный Жрец	еще_ADV пять_NUM кнут_NOUN за_ADP во_PART время_NOUN дача_NOUN показание_NOUN сказать_VERB верховный_ADJ жрец_NOUN	дерзость_NOUN	[0.3649887, 0.3290415, 0.35235354, 0.32140917, 0.3587494, 0.38892674, 0.30942225, 0.5049107, 0.43921375]	[0.5455279961480243, 0.5422286691419623, 0.5449642678965283, 0.5410702054788998, 0.5460128799060181, 0.5493239721901648, 0.5396014681010611, 0.5656490924360268, 0.5571074062154282]
447	дерзость	1.3	7	58-68	Мне сказали, что я тоже был пьяный. Я вспылил и наговорил дерзостей	Мне сказали, что я тоже был пьяный. Я вспылил и наговорил	я_PRON сказать_VERB что_PRON я_PRON тоже_PART быть_VERB пьяный_ADJ я_PRON вспылить_VERB и_SCONJ наговаривать_VERB	дерзость_NOUN	[0.32400644, 0.33489048, 0.32459155, 0.34919354, 0.3243403, 0.29707965, 0.30967468, 0.47869232, 0.33674297]	[0.5531605065034676, 0.556482513250578, 0.5544691232226572, 0.5586123923185842, 0.5547083809581119, 0.549604734880307, 0.5521042000744313, 0.5816868194383038, 0.557644146846019]
448	дерзость	2.1	4	16-26	Он с невиданной дерзостью разоблачал преступления режима	Он с невиданной  разоблачал преступления режима	он_PRON с_NOUN невиданный_ADJ разоблачать_VERB преступление_NOUN режим_NOUN	дерзость_NOUN	[0.3228702, 0.3333035, 0.3159916, 0.35746425, 0.60599625, 0.43982926, 0.29878873, 0.3441958, 0.3723981]	[0.5529754869587369, 0.5562171224613409, 0.5530369883925699, 0.5599874258957456, 0.6012104539537383, 0.5731539016103139, 0.5502851921168241, 0.5589906458816027, 0.5636845850226798]
449	дерзость	2.1	4	98-107	Один гениальный античный мужчина, […] устав покоряться божеским прихотям и холодея от собственной дерзости, заявил открытым текстом раз и навсегда: «Ничто в мире не происходит случайно!»	Один гениальный античный мужчина, […] устав покоряться божеским прихотям и холодея от собственной   заявил открытым текстом раз и навсегда: «Ничто в мире не происходит случайно!»	один_DET гениальный_ADJ античный_ADJ мужчина_NOUN устав_NOUN покоряться_VERB божеский_ADJ прихоть_NOUN и_SCONJ холодеть_VERB от_ADP собственный_ADJ заявлять_VERB открытый_ADJ текст_NOUN раз_NOUN и_SCONJ навсегда_ADV ничто_PRON в_NOUN мир_NOUN не_PART происходить_VERB случайно_ADV	дерзость_NOUN	[0.32461423, 0.32834348, 0.2861415, 0.26417655, 0.40044034, 0.4448567, 0.263475, 0.38836852, 0.44382235]	[0.5532594847890556, 0.5553874404009781, 0.5480593731074644, 0.5444295276575694, 0.5674033108437944, 0.5739778940787161, 0.5443753482811984, 0.56647680242025, 0.5757263617475817]
